le,x,y,pol
11246,110,87,0
24369,49,62,1
22973,61,51,1
30131,51,107,1
28875,75,97,1
11315,51,88,0
25654,54,72,1
4543,63,35,0
7611,59,59,0
29167,111,99,1
25169,81,68,1
25687,87,72,1
24065,1,60,1
5793,33,45,0
25203,115,68,1
11927,23,93,0
16711,71,2,1
21749,117,41,1
25272,56,69,1
11628,108,90,0
12977,49,101,0
17470,62,8,1
26034,50,75,1
27311,47,85,1
14268,60,111,0
13410,98,104,0
9016,56,70,0
29415,103,101,1
6951,39,54,0
27696,48,88,1
25973,117,74,1
12075,43,94,0
12216,56,95,0
26480,112,78,1
11722,74,91,0
12402,114,96,0
28790,118,96,1
9631,31,75,0
24751,47,65,1
27510,118,86,1
28857,57,97,1
25219,3,69,1
23922,114,58,1
17098,74,5,1
30703,111,111,1
23559,7,56,1
6595,67,51,0
29140,84,99,1
10932,52,85,0
23687,7,57,1
9534,62,74,0
30408,72,109,1
9907,51,77,0
24760,56,65,1
12913,113,100,0
11183,47,87,0
22659,3,49,1
12908,108,100,0
20483,3,32,1
30456,120,109,1
27248,112,84,1
13489,49,105,0
27442,50,86,1
24434,114,62,1
22913,1,51,1
13283,99,103,0
19259,59,22,1
23622,70,56,1
8765,61,68,0
3901,61,30,0
6669,13,52,0
22684,28,49,1
11758,110,91,0
24178,114,60,1
27443,51,86,1
9332,116,72,0
26414,46,78,1
29386,74,101,1
30217,9,108,1
23304,8,54,1
24692,116,64,1
13845,21,108,0
6953,41,54,0
30009,57,106,1
23811,3,58,1
6400,0,50,0
25587,115,71,1
12785,113,99,0
13721,25,107,0
21053,61,36,1
4664,56,36,0
253,125,1,0
30263,55,108,1
22520,120,47,1
27383,119,85,1
16705,65,2,1
7991,55,62,0
28741,69,96,1
8825,121,68,0
19864,24,27,1
30311,103,108,1
6720,64,52,0
11858,82,92,0
26550,54,79,1
18371,67,15,1
23856,48,58,1
6952,40,54,0
11000,120,85,0
13537,97,105,0
23562,10,56,1
8635,59,67,0
30094,14,107,1
10355,115,80,0
26608,112,79,1
3960,120,30,0
7927,119,61,0
3375,47,26,0
6948,36,54,0
29102,46,99,1
29809,113,104,1
30200,120,107,1
25475,3,71,1
29496,56,102,1
26712,88,80,1
26160,48,76,1
14196,116,110,0
23475,51,55,1
14058,106,109,0
12274,114,95,0
24332,12,62,1
25337,121,69,1
13,13,0,0
26981,101,82,1
28666,122,95,1
3512,56,27,0
3004,60,23,0
29233,49,100,1
27643,123,87,1
25653,53,72,1
29332,20,101,1
13874,50,108,0
29937,113,105,1
13027,99,101,0
21770,10,42,1
5690,58,44,0
21050,58,36,1
12475,59,97,0
25558,86,71,1
23600,48,56,1
29881,57,105,1
24817,113,65,1
23812,4,58,1
22793,9,50,1
20128,32,29,1
21875,115,42,1
5177,57,40,0
29541,101,102,1
24440,120,62,1
12842,42,100,0
235,107,1,0
27992,88,90,1
8625,49,67,0
11117,109,86,0
28874,74,97,1
26096,112,75,1
26427,59,78,1
28565,21,95,1
1724,60,13,0
27609,89,87,1
1401,121,10,0
29007,79,98,1
14313,105,111,0
23808,0,58,1
24823,119,65,1
5294,46,41,0
26360,120,77,1
11443,51,89,0
4026,58,31,0
25473,1,71,1
6706,50,52,0
24312,120,61,1
27641,121,87,1
27726,78,88,1
23943,7,59,1
20866,2,35,1
12808,8,100,0
12808,8,100,0
12829,29,100,0
9014,54,70,0
5827,67,45,0
13110,54,102,0
23863,55,58,1
23793,113,57,1
23739,59,57,1
28714,42,96,1
584,72,4,0
11582,62,90,0
26488,120,78,1
452,68,3,0
22159,15,45,1
20154,58,29,1
30583,119,110,1
23684,4,57,1
13083,27,102,0
29179,123,99,1
23683,3,57,1
28469,53,94,1
23174,6,53,1
19768,56,26,1
5688,56,44,0
25331,115,69,1
29364,52,101,1
29386,74,101,1
12826,26,100,0
451,67,3,0
25035,75,67,1
29690,122,103,1
29686,118,103,1
27442,50,86,1
29166,110,99,1
18426,122,15,1
23685,5,57,1
770,2,6,0
24122,58,60,1
24262,70,61,1
11674,26,91,0
25435,91,70,1
10485,117,81,0
14197,117,110,0
26163,51,76,1
23803,123,57,1
29407,95,101,1
20751,15,34,1
12269,109,95,0
28407,119,93,1
30064,112,106,1
25079,119,67,1
7976,40,62,0
23552,0,56,1
21771,11,42,1
28218,58,92,1
