le,x,y,pol
6864,80,53,0
7292,124,56,0
6583,55,51,0
22114,98,44,1
7290,122,56,0
20910,46,35,1
1713,49,13,0
6590,62,51,0
17402,122,7,1
18610,50,17,1
18610,50,17,1
5679,47,44,0
22131,115,44,1
21677,45,41,1
379,123,2,0
6584,56,51,0
6326,54,49,0
18614,54,17,1
22520,120,47,1
21549,45,40,1
18813,125,18,1
7162,122,55,0
23276,108,53,1
23522,98,55,1
6737,81,52,0
6349,77,49,0
22768,112,49,1
22330,58,46,1
6356,84,49,0
6462,62,50,0
6890,106,53,0
18424,120,15,1
6596,68,51,0
20911,47,35,1
6484,84,50,0
18297,121,14,1
6460,60,50,0
5946,58,46,0
23150,110,52,1
23150,110,52,1
25297,81,69,1
22998,86,51,1
19249,49,22,1
17843,51,11,1
17843,51,11,1
6747,91,52,0
16506,122,0,1
6728,72,52,0
889,121,6,0
6199,55,48,0
6749,93,52,0
18424,120,15,1
6867,83,53,0
23262,94,53,1
6481,81,50,0
6612,84,51,0
6607,79,51,0
6727,71,52,0
6724,68,52,0
7002,90,54,0
7002,90,54,0
17661,125,9,1
6104,88,47,0
6883,99,53,0
16734,94,2,1
2915,99,22,0
6736,80,52,0
16695,55,2,1
18556,124,16,1
18156,108,13,1
7018,106,54,0
23363,67,54,1
23378,82,54,1
16495,111,0,1
6330,58,49,0
6485,85,50,0
21294,46,38,1
6755,99,52,0
18609,49,17,1
16476,92,0,1
1272,120,9,0
6617,89,51,0
6488,88,50,0
6588,60,51,0
7011,99,54,0
23118,78,52,1
6621,93,51,0
23402,106,54,1
6862,78,53,0
7001,89,54,0
23489,65,55,1
23489,65,55,1
7029,117,54,0
5550,46,43,0
5550,46,43,0
7036,124,54,0
23417,121,54,1
16507,123,0,1
7007,95,54,0
16566,54,1,1
6323,51,49,0
16726,86,2,1
16726,86,2,1
21933,45,43,1
7019,107,54,0
6886,102,53,0
6082,66,47,0
6066,50,47,0
7283,115,56,0
18425,121,15,1
7009,97,54,0
6587,59,51,0
18554,122,16,1
18506,74,16,1
23104,64,52,1
6598,70,51,0
6726,70,52,0
19376,48,23,1
6775,119,52,0
6739,83,52,0
6629,101,51,0
22968,56,51,1
17402,122,7,1
17402,122,7,1
23349,53,54,1
6756,100,52,0
6872,88,53,0
7146,106,55,0
19633,49,25,1
23631,79,56,1
22583,55,48,1
6871,87,53,0
18738,50,18,1
18993,49,20,1
6200,56,48,0
6735,79,52,0
6461,61,50,0
7035,123,54,0
23357,61,54,1
6750,94,52,0
20849,113,34,1
19632,48,25,1
16438,54,0,1
16459,75,0,1
5814,54,45,0
18681,121,17,1
18427,123,15,1
6869,85,53,0
6327,55,49,0
6611,83,51,0
6719,63,52,0
6454,54,50,0
7016,104,54,0
18813,125,18,1
6348,76,49,0
18167,119,13,1
18167,119,13,1
23222,54,53,1
6522,122,50,0
6718,62,52,0
5817,57,45,0
23278,110,53,1
23288,120,53,1
